CITY,POPULATION,LATITUDE,LONGITUDE
Hollywood,151998,26.031,80.1646
KansasCity,151709,39.1225,94.7418
Escondido,151613,33.1331,117.074
Clarksville,150287,36.5664,87.3452
Joliet,148262,41.5177,88.1488
Rockford,147651,42.2588,89.0646
Torrance,147195,33.835,118.3414
Naperville,147122,41.7492,88.162
Paterson,147000,40.9148,74.1628
Savannah,146763,32.0025,81.1536
Bridgeport,145936,41.1874,73.1958
Mesquite,143736,32.7629,96.5888
Killeen,143400,31.0777,97.732
Syracuse,143378,43.041,76.1436
McAllen,142212,26.2322,98.2464
Pasadena,142059,34.1606,118.1396
Bellevue,141400,47.5979,122.1565
Fullerton,140721,33.8857,117.928
Orange,140504,33.787,117.8613
Dayton,140489,39.7774,84.1996
Miramar,138449,25.977,80.3358
Thornton,136703,39.9194,104.9428
WestValleyCity,136574,40.6885,112.0118
Olathe,135473,38.8843,94.8195
Hampton,135410,37.048,76.2971
Warren,135125,42.4929,83.025
Midland,134610,32.0246,102.1135
Waco,134432,31.5601,97.186
Charleston,134385,32.8179,79.959
Columbia,134309,34.0291,80.898
Denton,133808,33.2166,97.1414
Carrollton,133351,32.9884,96.8998
Surprise,132677,33.6706,112.4527
Roseville,132671,38.769,121.3189
SterlingHeights,132427,42.5812,83.0303
Murfreesboro,131947,35.8522,86.416
Gainesville,131591,29.6788,82.3461
CedarRapids,131127,41.967,91.6778
Visalia,131074,36.3273,119.3289
CoralSprings,130059,26.2707,80.2593
NewHaven,129934,41.3108,72.925
Stamford,129113,41.0799,73.546
ThousandOaks,128888,34.1933,118.8742
Concord,128726,37.9722,122.0016
Elizabeth,128640,40.6664,74.1935
Lafayette,127626,30.2074,92.0285
Kent,127514,47.388,122.2127
Topeka,126808,39.0347,95.6962
SimiValley,126327,34.2669,118.7485
SantaClara,125948,37.3646,121.9679
Athens,123371,33.9496,83.3701
Hartford,123243,41.7659,72.6816
Victorville,122265,34.5277,117.3536
Abilene,122225,32.4545,99.7381
Norman,122180,35.2406,97.3453
Vallejo,121299,38.1079,122.264
Berkeley,121240,37.867,122.2991
RoundRock,120892,30.5252,97.666
AnnArbor,120782,42.2761,83.7309
Fargo,120762,46.8652,96.829
Columbia,120612,38.9473,92.3264
Allentown,120443,40.5936,75.4784
Evansville,119477,37.9877,87.5347
Beaumont,118299,30.0849,94.1453
Odessa,117871,31.8838,102.3411
Wilmington,117525,34.2092,77.8858
Arvada,117453,39.8337,105.1503
Independence,117030,39.0855,94.3521
Provo,116868,40.2453,111.6448
Lansing,116020,42.7143,84.5593
ElMonte,115807,34.0746,118.0291
Springfield,115715,39.7911,89.6446
Fairfield,114756,38.2593,122.0321
Clearwater,114361,27.9789,82.7666
Peoria,114265,40.7515,89.6174
Rochester,114011,44.0154,92.4772
Carlsbad,113952,33.1239,117.2828
Westminster,113875,39.8822,105.0644
WestJordan,113699,40.6024,112.0008
Pearland,113570,29.5558,95.3231
Richardson,113347,32.9723,96.7081
Downey,113267,33.9382,118.1309
MiamiGardens,113058,25.9489,80.2436
Temecula,113054,33.4931,117.1317
CostaMesa,112822,33.6659,117.9123
CollegeStation,112141,30.5852,96.2964
Elgin,112123,42.0396,88.3217
Murrieta,111674,33.5721,117.1904
Gresham,111523,45.5023,122.4416
HighPoint,111223,35.99,79.9905
Antioch,110898,37.9791,121.7962
Inglewood,110654,33.9561,118.3443
Cambridge,110651,42.376,71.1187
Lowell,110558,42.639,71.3211
Manchester,110506,42.9849,71.4441
Billings,110323,45.7885,108.5499
Pueblo,110291,38.2699,104.6123
PalmBay,110104,27.9856,80.6626
Centennial,109932,39.5906,104.8691
Richmond,109813,37.9523,122.3606
Ventura,109592,34.2678,119.2542
PompanoBeach,109393,26.2416,80.1339
NorthCharleston,109298,32.9178,80.065
Everett,109043,47.9566,122.1914
Waterbury,108272,41.5585,73.0367
